store,state
1091,SH
1099,SH
1101,SH
1106,SH
1113,SH
2,TH
17,TH
18,TH
26,TH
59,TH
114,TH
133,TH
156,TH
196,TH
198,TH
223,TH
261,TH
286,TH
307,TH
313,TH
322,TH
384,TH
400,TH
474,TH
526,TH
607,TH
613,TH
630,TH
652,TH
754,TH
755,TH
783,TH
814,TH
838,TH
898,TH
953,TH
971,TH
979,TH
1001,TH
1069,TH
1095,TH
